id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1028929,"A_23_P166297",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1028930,"CUST_15564_PI416261804",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1048348,"CUST_15570_PI416261804",9475,"ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1",9619,"21","n/a","n/a"
1048598,"A_23_P18713",9293,"ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2",9429,"4","n/a","n/a"
1048599,"CUST_16700_PI416261804",9293,"ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2",9429,"4","n/a","n/a"
1015836,"A_24_P355626",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1014329,"CUST_16196_PI416261804",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1014097,"CUST_16202_PI416261804",40770,"ABCG4","ATP-binding cassette, sub-family G (WHITE), member 4",64137,"11","n/a","n/a"
1039920,"A_23_P119763",40871,"ABCG5","ATP-binding cassette, sub-family G (WHITE), member 5",64240,"2","n/a","n/a"
1039921,"CUST_16445_PI416261804",40871,"ABCG5","ATP-binding cassette, sub-family G (WHITE), member 5",64240,"2","n/a","n/a"
1039918,"A_23_P90577",40872,"ABCG8","ATP-binding cassette, sub-family G (WHITE), member 8",64241,"2","n/a","n/a"
1039919,"CUST_16054_PI416261804",40872,"ABCG8","ATP-binding cassette, sub-family G (WHITE), member 8",64241,"2","n/a","n/a"
1027917,"A_24_P79750",10181,"AKR1A1","aldo-keto reductase family 1, member A1 (aldehyde reductase)",10327,"1","n/a","n/a"
1027919,"A_24_P79755",10181,"AKR1A1","aldo-keto reductase family 1, member A1 (aldehyde reductase)",10327,"1","n/a","n/a"
1059256,"A_23_P258190",228,"AKR1B1","aldo-keto reductase family 1, member B1 (aldose reductase)",231,"7","n/a","n/a"
1059257,"CUST_13611_PI416261804",228,"AKR1B1","aldo-keto reductase family 1, member B1 (aldose reductase)",231,"7","n/a","n/a"
1041002,"A_23_P93641",36294,"AKR1B10","aldo-keto reductase family 1, member B10 (aldose reductase)",57016,"7","n/a","n/a"
1041003,"A_24_P129341",36294,"AKR1B10","aldo-keto reductase family 1, member B10 (aldose reductase)",57016,"7","n/a","n/a"
1015907,"A_24_P152845",36294,"AKR1B10","aldo-keto reductase family 1, member B10 (aldose reductase)",57016,"7","n/a","n/a"
1057696,"A_23_P257971",1633,"AKR1C1","aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",1645,"10","n/a","n/a"
1057699,"A_24_P152968",1633,"AKR1C1","aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",1645,"10","n/a","n/a"
1057697,"A_24_P220947",1633,"AKR1C1","aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",1645,"10","n/a","n/a"
1057698,"CUST_630_PI417507815",1633,"AKR1C1","aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",1645,"10","n/a","n/a"
1015569,"CUST_7003_PI416261804",1634,"AKR1C2","aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)",1646,"10","n/a","n/a"
1049483,"A_23_P138541",8575,"AKR1C3","aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)",8644,"10","n/a","n/a"
1049484,"CUST_15152_PI416261804",8575,"AKR1C3","aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)",8644,"10","n/a","n/a"
1058271,"A_23_P149926",1101,"AKR1C4","aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",1109,"10","n/a","n/a"
1058272,"CUST_16260_PI416261804",1101,"AKR1C4","aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",1109,"10","n/a","n/a"
1019833,"CUST_373_PI416573500",109905,"AKR1CL1","aldo-keto reductase family 1, member C-like 1",340811,"10","n/a","n/a"
1013943,"CUST_382_PI416379584",109905,"AKR1CL1","aldo-keto reductase family 1, member C-like 1",340811,"10","n/a","n/a"
1051156,"A_23_P255185",6678,"AKR1D1","aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",6718,"7","n/a","n/a"
1051155,"A_23_P382000",6678,"AKR1D1","aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",6718,"7","n/a","n/a"
1064362,"A_23_P1322",57834,"AKR1E2","aldo-keto reductase family 1, member E2",83592,"10","n/a","n/a"
1022301,"CUST_194_PI416573500",57834,"AKR1E2","aldo-keto reductase family 1, member E2",83592,"10","n/a","n/a"
1022300,"CUST_199_PI416379584",57834,"AKR1E2","aldo-keto reductase family 1, member E2",83592,"10","n/a","n/a"
1049539,"A_23_P115356",8508,"AKR7A2","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",8574,"1","n/a","n/a"
1049540,"CUST_7519_PI416261804",8508,"AKR7A2","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",8574,"1","n/a","n/a"
1046133,"A_23_P103968",22732,"AKR7A3","aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)",22977,"1","n/a","n/a"
1046134,"CUST_5022_PI416261804",22732,"AKR7A3","aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)",22977,"1","n/a","n/a"
1019359,"A_23_P320304",89693,"AKR7L","aldo-keto reductase family 7-like",246181,"1","n/a","n/a"
1033002,"CUST_11393_PI416261804",89693,"AKR7L","aldo-keto reductase family 7-like",246181,"1","n/a","n/a"
1013869,"CUST_11394_PI416261804",89693,"AKR7L","aldo-keto reductase family 7-like",246181,"1","n/a","n/a"
1030872,"A_23_P204751",38,"ASIC1","acid-sensing (proton-gated) ion channel 1",41,"12","n/a","n/a"
1030873,"CUST_12445_PI416261804",38,"ASIC1","acid-sensing (proton-gated) ion channel 1",41,"12","n/a","n/a"
1059455,"A_32_P159612",37,"ASIC2","acid-sensing (proton-gated) ion channel 2",40,"17","n/a","n/a"
1059456,"CUST_54_PI416408490",37,"ASIC2","acid-sensing (proton-gated) ion channel 2",40,"17","n/a","n/a"
1059457,"CUST_6211_PI416261804",37,"ASIC2","acid-sensing (proton-gated) ion channel 2",40,"17","n/a","n/a"
1048745,"A_23_P93658",9177,"ASIC3","acid-sensing (proton-gated) ion channel 3",9311,"7","n/a","n/a"
1048746,"CUST_8962_PI416261804",9177,"ASIC3","acid-sensing (proton-gated) ion channel 3",9311,"7","n/a","n/a"
1023404,"A_24_P405375",34804,"ASIC4","acid-sensing (proton-gated) ion channel family member 4",55515,"2","n/a","n/a"
1023406,"CUST_1_PI416408490",34804,"ASIC4","acid-sensing (proton-gated) ion channel family member 4",55515,"2","n/a","n/a"
1023405,"CUST_9248_PI416261804",34804,"ASIC4","acid-sensing (proton-gated) ion channel family member 4",55515,"2","n/a","n/a"
1043100,"A_23_P258433",31282,"ASIC5","acid-sensing (proton-gated) ion channel family member 5",51802,"4","n/a","n/a"
1043101,"CUST_1530_PI416261804",31282,"ASIC5","acid-sensing (proton-gated) ion channel family member 5",51802,"4","n/a","n/a"
1027293,"A_24_P143599",23005,"ATP11A","ATPase, class VI, type 11A",23250,"13","n/a","n/a"
1027291,"A_24_P161973",23005,"ATP11A","ATPase, class VI, type 11A",23250,"13","n/a","n/a"
1027292,"A_24_P59403",23005,"ATP11A","ATPase, class VI, type 11A",23250,"13","n/a","n/a"
1029160,"A_23_P212522",22955,"ATP11B","ATPase, class VI, type 11B",23200,"3","n/a","n/a"
1029162,"A_24_P111737",22955,"ATP11B","ATPase, class VI, type 11B",23200,"3","n/a","n/a"
1029163,"A_24_P152310",22955,"ATP11B","ATPase, class VI, type 11B",23200,"3","n/a","n/a"
1029161,"A_24_P157415",22955,"ATP11B","ATPase, class VI, type 11B",23200,"3","n/a","n/a"
1029164,"A_24_P340428",22955,"ATP11B","ATPase, class VI, type 11B",23200,"3","n/a","n/a"
1027978,"A_23_P251730",94868,"ATP11C","ATPase, class VI, type 11C",286410,"X","n/a","n/a"
1027977,"A_24_P399942",94868,"ATP11C","ATPase, class VI, type 11C",286410,"X","n/a","n/a"
1027979,"A_24_P806749",94868,"ATP11C","ATPase, class VI, type 11C",286410,"X","n/a","n/a"
1058999,"A_23_P87982",476,"ATP12A","ATPase, H+/K+ transporting, nongastric, alpha polypeptide",479,"13","n/a","n/a"
1059000,"CUST_7599_PI416261804",476,"ATP12A","ATPase, H+/K+ transporting, nongastric, alpha polypeptide",479,"13","n/a","n/a"
1040812,"A_23_P5163",36408,"ATP13A1","ATPase type 13A1",57130,"19","n/a","n/a"
1040813,"CUST_6601_PI416261804",36408,"ATP13A1","ATPase type 13A1",57130,"19","n/a","n/a"
1017376,"A_23_P12423",23155,"ATP13A2","ATPase type 13A2",23400,"1","n/a","n/a"
1018150,"A_24_P131222",23155,"ATP13A2","ATPase type 13A2",23400,"1","n/a","n/a"
1012714,"CUST_14478_PI416261804",23155,"ATP13A2","ATPase type 13A2",23400,"1","n/a","n/a"
1039217,"A_23_P155185",55375,"ATP13A3","ATPase type 13A3",79572,"3","n/a","n/a"
1039216,"A_24_P183094",55375,"ATP13A3","ATPase type 13A3",79572,"3","n/a","n/a"
1037749,"A_23_P29394",58449,"ATP13A4","ATPase type 13A4",84239,"3","n/a","n/a"
1037750,"A_23_P430948",58449,"ATP13A4","ATPase type 13A4",84239,"3","n/a","n/a"
1061782,"A_24_P205327",58449,"ATP13A4","ATPase type 13A4",84239,"3","n/a","n/a"
1029029,"A_32_P315178",110149,"ATP13A5","ATPase type 13A5",344905,"3","n/a","n/a"
1029030,"CUST_6259_PI416261804",110149,"ATP13A5","ATPase type 13A5",344905,"3","n/a","n/a"
1017605,"A_23_P1072",473,"ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide",476,"1","n/a","n/a"
1059003,"A_23_P148879",474,"ATP1A2","ATPase, Na+/K+ transporting, alpha 2 polypeptide",477,"1","n/a","n/a"
1059004,"CUST_16576_PI416261804",474,"ATP1A2","ATPase, Na+/K+ transporting, alpha 2 polypeptide",477,"1","n/a","n/a"
1059005,"CUST_96_PI416408490",474,"ATP1A2","ATPase, Na+/K+ transporting, alpha 2 polypeptide",477,"1","n/a","n/a"
1059001,"A_23_P27472",475,"ATP1A3","ATPase, Na+/K+ transporting, alpha 3 polypeptide",478,"19","n/a","n/a"
1059002,"CUST_15156_PI416261804",475,"ATP1A3","ATPase, Na+/K+ transporting, alpha 3 polypeptide",478,"19","n/a","n/a"
1058997,"A_23_P160177",477,"ATP1A4","ATPase, Na+/K+ transporting, alpha 4 polypeptide",480,"1","n/a","n/a"
1026946,"A_24_P307626",477,"ATP1A4","ATPase, Na+/K+ transporting, alpha 4 polypeptide",480,"1","n/a","n/a"
1058998,"CUST_7828_PI416261804",477,"ATP1A4","ATPase, Na+/K+ transporting, alpha 4 polypeptide",480,"1","n/a","n/a"
1058989,"A_23_P72462",484,"ATP2A1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",487,"16","n/a","n/a"
1058990,"CUST_10945_PI416261804",484,"ATP2A1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",487,"16","n/a","n/a"
1058988,"CUST_4597_PI416261804",484,"ATP2A1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",487,"16","n/a","n/a"
1058987,"A_23_P53603",485,"ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",488,"12","n/a","n/a"
1058986,"A_24_P141786",485,"ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",488,"12","n/a","n/a"
1058984,"A_24_P73290",485,"ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",488,"12","n/a","n/a"
1058985,"A_32_P175674",485,"ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",488,"12","n/a","n/a"
1058982,"A_23_P207632",486,"ATP2A3","ATPase, Ca++ transporting, ubiquitous",489,"17","n/a","n/a"
1058983,"A_24_P202319",486,"ATP2A3","ATPase, Ca++ transporting, ubiquitous",489,"17","n/a","n/a"
1024537,"A_23_P128319",487,"ATP2B1","ATPase, Ca++ transporting, plasma membrane 1",490,"12","n/a","n/a"
1058980,"CUST_1340_PI416573500",487,"ATP2B1","ATPase, Ca++ transporting, plasma membrane 1",490,"12","n/a","n/a"
1058979,"CUST_1382_PI416379584",487,"ATP2B1","ATPase, Ca++ transporting, plasma membrane 1",490,"12","n/a","n/a"
1058981,"CUST_15788_PI416261804",487,"ATP2B1","ATPase, Ca++ transporting, plasma membrane 1",490,"12","n/a","n/a"
1024959,"A_23_P18152",488,"ATP2B2","ATPase, Ca++ transporting, plasma membrane 2",491,"3","n/a","n/a"
1024958,"A_32_P197393",488,"ATP2B2","ATPase, Ca++ transporting, plasma membrane 2",491,"3","n/a","n/a"
1024960,"CUST_2847_PI416261804",488,"ATP2B2","ATPase, Ca++ transporting, plasma membrane 2",491,"3","n/a","n/a"
1058977,"A_23_P22723",489,"ATP2B3","ATPase, Ca++ transporting, plasma membrane 3",492,"X","n/a","n/a"
1058978,"A_23_P337642",489,"ATP2B3","ATPase, Ca++ transporting, plasma membrane 3",492,"X","n/a","n/a"
1058976,"A_23_P11841",490,"ATP2B4","ATPase, Ca++ transporting, plasma membrane 4",493,"1","n/a","n/a"
1058973,"A_24_P405205",490,"ATP2B4","ATPase, Ca++ transporting, plasma membrane 4",493,"1","n/a","n/a"
1058974,"CUST_97_PI416408490",490,"ATP2B4","ATPase, Ca++ transporting, plasma membrane 4",493,"1","n/a","n/a"
1030049,"A_23_P143916",26777,"ATP2C1","ATPase, Ca++ transporting, type 2C, member 1",27032,"3","n/a","n/a"
1029811,"A_24_P137372",26777,"ATP2C1","ATPase, Ca++ transporting, type 2C, member 1",27032,"3","n/a","n/a"
1029812,"A_24_P137376",26777,"ATP2C1","ATPase, Ca++ transporting, type 2C, member 1",27032,"3","n/a","n/a"
1029813,"CUST_13954_PI416261804",26777,"ATP2C1","ATPase, Ca++ transporting, type 2C, member 1",27032,"3","n/a","n/a"
1048036,"A_23_P117992",9770,"ATP2C2","ATPase, Ca++ transporting, type 2C, member 2",9914,"16","n/a","n/a"
1048037,"CUST_14798_PI416261804",9770,"ATP2C2","ATPase, Ca++ transporting, type 2C, member 2",9914,"16","n/a","n/a"
1058971,"A_23_P430728",492,"ATP4A","ATPase, H+/K+ exchanging, alpha polypeptide",495,"19","n/a","n/a"
1058972,"CUST_9833_PI416261804",492,"ATP4A","ATPase, H+/K+ exchanging, alpha polypeptide",495,"19","n/a","n/a"
1030454,"A_24_P245358",495,"ATP5A1","ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",498,"18","n/a","n/a"
1030455,"CUST_9456_PI416261804",495,"ATP5A1","ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",498,"18","n/a","n/a"
1058964,"A_23_P33216",503,"ATP5B","ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",506,"12","n/a","n/a"
1058965,"CUST_12105_PI416261804",503,"ATP5B","ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",506,"12","n/a","n/a"
1058953,"A_23_P211965",520,"ATP6V1A","ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",523,"3","n/a","n/a"
1058952,"A_24_P396994",520,"ATP6V1A","ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",523,"3","n/a","n/a"
1058950,"A_23_P142815",522,"ATP6V1B1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1",525,"2","n/a","n/a"
1058951,"CUST_8586_PI416261804",522,"ATP6V1B1","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1",525,"2","n/a","n/a"
1058948,"A_23_P31844",523,"ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2",526,"8","n/a","n/a"
1058949,"CUST_1178_PI416261804",523,"ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2",526,"8","n/a","n/a"
1058932,"A_23_P217737",535,"ATP7A","ATPase, Cu++ transporting, alpha polypeptide",538,"X","n/a","n/a"
1058933,"CUST_14500_PI416261804",535,"ATP7A","ATPase, Cu++ transporting, alpha polypeptide",538,"X","n/a","n/a"
1024018,"A_23_P205228",537,"ATP7B","ATPase, Cu++ transporting, beta polypeptide",540,"13","n/a","n/a"
1024019,"CUST_16999_PI416261804",537,"ATP7B","ATPase, Cu++ transporting, beta polypeptide",540,"13","n/a","n/a"
1020644,"A_23_P30075",10249,"ATP8A1","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",10396,"4","n/a","n/a"
1015245,"CUST_13116_PI416261804",10249,"ATP8A1","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",10396,"4","n/a","n/a"
1043119,"A_23_P258612",31241,"ATP8A2","ATPase, aminophospholipid transporter, class I, type 8A, member 2",51761,"13","n/a","n/a"
1043120,"CUST_7980_PI416261804",31241,"ATP8A2","ATPase, aminophospholipid transporter, class I, type 8A, member 2",51761,"13","n/a","n/a"
1028237,"A_23_P107597",5173,"ATP8B1","ATPase, aminophospholipid transporter, class I, type 8B, member 1",5205,"18","n/a","n/a"
1028238,"CUST_14309_PI416261804",5173,"ATP8B1","ATPase, aminophospholipid transporter, class I, type 8B, member 1",5205,"18","n/a","n/a"
1028239,"CUST_98_PI416408490",5173,"ATP8B1","ATPase, aminophospholipid transporter, class I, type 8B, member 1",5205,"18","n/a","n/a"
1040751,"A_24_P117896",36474,"ATP8B2","ATPase, aminophospholipid transporter, class I, type 8B, member 2",57198,"1","n/a","n/a"
1040752,"A_24_P366749",36474,"ATP8B2","ATPase, aminophospholipid transporter, class I, type 8B, member 2",57198,"1","n/a","n/a"
1040754,"A_32_P185229",36474,"ATP8B2","ATPase, aminophospholipid transporter, class I, type 8B, member 2",57198,"1","n/a","n/a"
1040753,"CUST_7915_PI416261804",36474,"ATP8B2","ATPase, aminophospholipid transporter, class I, type 8B, member 2",57198,"1","n/a","n/a"
1034542,"A_23_P79108",80693,"ATP8B3","ATPase, aminophospholipid transporter, class I, type 8B, member 3",148229,"19","n/a","n/a"
1034543,"CUST_7978_PI416261804",80693,"ATP8B3","ATPase, aminophospholipid transporter, class I, type 8B, member 3",148229,"19","n/a","n/a"
1038828,"A_23_P163216",55698,"ATP8B4","ATPase, class I, type 8B, member 4",79895,"15","n/a","n/a"
1038829,"CUST_13703_PI416261804",55698,"ATP8B4","ATPase, class I, type 8B, member 4",79895,"15","n/a","n/a"
1018470,"A_23_P104996",7396,"BEST1","bestrophin 1",7439,"11","n/a","n/a"
1013703,"CUST_10878_PI416261804",7396,"BEST1","bestrophin 1",7439,"11","n/a","n/a"
1042635,"A_23_P16225",34120,"BEST2","bestrophin 2",54831,"19","n/a","n/a"
1042636,"CUST_9371_PI416261804",34120,"BEST2","bestrophin 2",54831,"19","n/a","n/a"
1062198,"A_23_P150955",80370,"BEST3","bestrophin 3",144453,"12","n/a","n/a"
1062199,"A_23_P150963",80370,"BEST3","bestrophin 3",144453,"12","n/a","n/a"
1034770,"A_23_P323801",80370,"BEST3","bestrophin 3",144453,"12","n/a","n/a"
1037340,"CUST_5178_PI416261804",80370,"BEST3","bestrophin 3",144453,"12","n/a","n/a"
1034771,"CUST_5315_PI416261804",80370,"BEST3","bestrophin 3",144453,"12","n/a","n/a"
1032682,"A_23_P97242",92315,"BEST4","bestrophin 4",266675,"1","n/a","n/a"
1032683,"CUST_1605_PI416261804",92315,"BEST4","bestrophin 4",266675,"1","n/a","n/a"
1040461,"A_24_P943922",36958,"CACHD1","cache domain containing 1",57685,"1","n/a","n/a"
1040462,"CUST_5345_PI416261804",36958,"CACHD1","cache domain containing 1",57685,"1","n/a","n/a"
1019944,"A_24_P130559",769,"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",773,"19","n/a","n/a"
1020304,"CUST_16843_PI416261804",769,"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",773,"19","n/a","n/a"
1014869,"CUST_16845_PI416261804",769,"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",773,"19","n/a","n/a"
1014866,"A_23_P159622",770,"CACNA1B","calcium channel, voltage-dependent, N type, alpha 1B subunit",774,"9","n/a","n/a"
1059559,"A_23_P84849",770,"CACNA1B","calcium channel, voltage-dependent, N type, alpha 1B subunit",774,"9","n/a","n/a"
1011584,"A_32_P153773",770,"CACNA1B","calcium channel, voltage-dependent, N type, alpha 1B subunit",774,"9","n/a","n/a"
